Site	Vegetation	Y	PC1	PC2	PC3	A	B	C
ALS	Forests	1.326466422	1.11194	-1.48152	-1.46037	493.7700081	4.53940022	21.786667
ALS	Forests	1.346478949	1.11194	-1.48152	-1.46037	493.7700081	4.53940022	21.786667
ALS	Forests	1.351412731	1.11194	-1.48152	-1.46037	493.7700081	4.53940022	21.786667
ALS	Forests	1.356626778	1.11194	-1.48152	-1.46037	493.7700081	4.53940022	21.786667
BNF	Forests	1.261710416	2.53803	-1.93053	0.24567	960.8600159	3.187210641	24.39666691
BNF	Forests	1.3153196	2.53803	-1.93053	0.24567	960.8600159	3.187210641	24.39666691
BNF	Forests	1.315338108	2.53803	-1.93053	0.24567	960.8600159	3.187210641	24.39666691
BNF	Forests	1.317413625	2.53803	-1.93053	0.24567	960.8600159	3.187210641	24.39666691
CB	Forests	1.428126563	-0.24905	0.55157	1.2347	421.9900063	13.64661947	17.81000036
CB	Forests	1.439762752	-0.24905	0.55157	1.2347	421.9900063	13.64661947	17.81000036
CB	Forests	1.443490831	-0.24905	0.55157	1.2347	421.9900063	13.64661947	17.81000036
CB	Forests	1.484497172	-0.24905	0.55157	1.2347	421.9900063	13.64661947	17.81000036
DH	Forests	1.41039138	2.72969	-0.16662	0.38771	791.2600182	5.750441089	28.90333379
DH	Forests	1.430636473	2.72969	-0.16662	0.38771	791.2600182	5.750441089	28.90333379
DH	Forests	1.444104645	2.72969	-0.16662	0.38771	791.2600182	5.750441089	28.90333379
DH	Forests	1.453078699	2.72969	-0.16662	0.38771	791.2600182	5.750441089	28.90333379
DJY	Forests	1.321845563	0.78781	-0.67952	-0.71412	462.1300079	6.747642561	19.34333363
DJY	Forests	1.324192685	0.78781	-0.67952	-0.71412	462.1300079	6.747642561	19.34333363
DJY	Forests	1.325605388	0.78781	-0.67952	-0.71412	462.1300079	6.747642561	19.34333363
DJY	Forests	1.340960081	0.78781	-0.67952	-0.71412	462.1300079	6.747642561	19.34333363
DL	Forests	1.377233132	-0.04752	0.38941	-0.48487	314.5300049	11.47397244	21.45666714
DL	Forests	1.381904603	-0.04752	0.38941	-0.48487	314.5300049	11.47397244	21.45666714
DL	Forests	1.38295941	-0.04752	0.38941	-0.48487	314.5300049	11.47397244	21.45666714
DL	Forests	1.385588348	-0.04752	0.38941	-0.48487	314.5300049	11.47397244	21.45666714
GH	Forests	1.422587289	-1.11297	0.74471	2.14858	330.3100056	16.68934397	14.84333344
GH	Forests	1.45385662	-1.11297	0.74471	2.14858	330.3100056	16.68934397	14.84333344
GH	Forests	1.4940861	-1.11297	0.74471	2.14858	330.3100056	16.68934397	14.84333344
GH	Forests	1.516257517	-1.11297	0.74471	2.14858	330.3100056	16.68934397	14.84333344
GTS	Forests	1.333226316	3.0984	0.20388	3.91011	799.2700165	8.290322007	26.51000055
GTS	Forests	1.336436282	3.0984	0.20388	3.91011	799.2700165	8.290322007	26.51000055
GTS	Forests	1.339131949	3.0984	0.20388	3.91011	799.2700165	8.290322007	26.51000055
GTS	Forests	1.342986787	3.0984	0.20388	3.91011	799.2700165	8.290322007	26.51000055
HJ	Forests	1.313003424	2.33838	-0.02978	0.22771	687.1800129	6.505290894	27.61666718
HJ	Forests	1.330197504	2.33838	-0.02978	0.22771	687.1800129	6.505290894	27.61666718
HJ	Forests	1.337800226	2.33838	-0.02978	0.22771	687.1800129	6.505290894	27.61666718
HJ	Forests	1.339152427	2.33838	-0.02978	0.22771	687.1800129	6.505290894	27.61666718
HL	Forests	1.350475858	1.5002	0.01744	-0.23915	509.67001	7.382890777	23.04333363
HL	Forests	1.364265155	1.5002	0.01744	-0.23915	509.67001	7.382890777	23.04333363
HL	Forests	1.371991438	1.5002	0.01744	-0.23915	509.67001	7.382890777	23.04333363
HL	Forests	1.400823116	1.5002	0.01744	-0.23915	509.67001	7.382890777	23.04333363
HPS	Forests	1.425332206	1.65633	0.0703	0.56138	613.9300117	7.967713451	23.29333394
HPS	Forests	1.427309964	1.65633	0.0703	0.56138	613.9300117	7.967713451	23.29333394
HPS	Forests	1.470788041	1.65633	0.0703	0.56138	613.9300117	7.967713451	23.29333394
HPS	Forests	1.517844823	1.65633	0.0703	0.56138	613.9300117	7.967713451	23.29333394
HZ	Forests	1.564610616	-1.10775	0.80055	2.23306	334.2900063	16.97424998	14.80666682
HZ	Forests	1.569855767	-1.10775	0.80055	2.23306	334.2900063	16.97424998	14.80666682
HZ	Forests	1.605325181	-1.10775	0.80055	2.23306	334.2900063	16.97424998	14.80666682
HZ	Forests	1.608889735	-1.10775	0.80055	2.23306	334.2900063	16.97424998	14.80666682
JF	Forests	1.327026496	2.29187	-0.9618	-1.84868	620.180011	3.414869371	25.56666705
JF	Forests	1.337736748	2.29187	-0.9618	-1.84868	620.180011	3.414869371	25.56666705
JF	Forests	1.349638355	2.29187	-0.9618	-1.84868	620.180011	3.414869371	25.56666705
JH	Forests	1.384551724	-0.18394	0.80686	1.00163	419.9300087	13.99231251	19.89333369
JH	Forests	1.385722363	-0.18394	0.80686	1.00163	419.9300087	13.99231251	19.89333369
JH	Forests	1.424522828	-0.18394	0.80686	1.00163	419.9300087	13.99231251	19.89333369
JH	Forests	1.493134309	-0.18394	0.80686	1.00163	419.9300087	13.99231251	19.89333369
JL	Forests	1.355192867	2.68766	-0.40882	1.97016	678.6300079	6.539452573	19.79000034
JL	Forests	1.357216444	2.68766	-0.40882	1.97016	678.6300079	6.539452573	19.79000034
JL	Forests	1.468404184	2.68766	-0.40882	1.97016	678.6300079	6.539452573	19.79000034
JYS	Forests	1.379074026	1.70621	0.56091	-1.20381	498.3600071	7.429892843	27.98000043
JYS	Forests	1.385778653	1.70621	0.56091	-1.20381	498.3600071	7.429892843	27.98000043
JYS	Forests	1.394483499	1.70621	0.56091	-1.20381	498.3600071	7.429892843	27.98000043
JYS	Forests	1.398931182	1.70621	0.56091	-1.20381	498.3600071	7.429892843	27.98000043
LS	Forests	1.640411697	-0.4251	0.98631	1.68776	464.2600075	15.60012501	18.47000027
LS	Forests	1.655062711	-0.4251	0.98631	1.68776	464.2600075	15.60012501	18.47000027
LS	Forests	1.670357007	-0.4251	0.98631	1.68776	464.2600075	15.60012501	18.47000027
LS	Forests	1.671238004	-0.4251	0.98631	1.68776	464.2600075	15.60012501	18.47000027
LW	Forests	1.348369001	0.01834	1.0662	1.08004	444.5500107	14.27307921	22.02666696
LW	Forests	1.469125723	0.01834	1.0662	1.08004	444.5500107	14.27307921	22.02666696
LW	Forests	1.573290562	0.01834	1.0662	1.08004	444.5500107	14.27307921	22.02666696
LW	Forests	1.577248326	0.01834	1.0662	1.08004	444.5500107	14.27307921	22.02666696
MES	Forests	1.445952841	-0.18601	1.06363	1.27396	447.8800064	14.96168803	20.58666719
MES	Forests	1.476034331	-0.18601	1.06363	1.27396	447.8800064	14.96168803	20.58666719
MES	Forests	1.551875946	-0.18601	1.06363	1.27396	447.8800064	14.96168803	20.58666719
MES	Forests	1.569578223	-0.18601	1.06363	1.27396	447.8800064	14.96168803	20.58666719
